COORD_X,COORD_Y,M2_HABITA,M2_PARCEL,REFCAT,Dist_Playa,CVisual_m2,V_Bosque,V_Golf,V_Equipami,V_Mar,V_Matorral,V_RedVia,V_UTrad,V_Cultivo,V_UPlurif,V_UUnif,V_Mina,Tipos_pais,Tam_CVisus,V_TPaiDef,Tpaisaje_sin_Proximidad,Med_Vist_valor_final,SpParc_Cat,AreaMedZon,Eur_m2_Cat,Precio_Cat,Prec_pond
358953,4049918,370,800,9099501UF5499N,862.4,66978,0.091,0.000,0.000,66.741,26.315,0.000,0.000,0.000,0.361,6.492,0.000,6.000,2.000,2.000,2.000,2.0,808.0,2240.0,304.6,682300.0,511394.4
358845,4049822,360,800,9099504UF5499N,817.6,543882,0.036,0.005,0.000,94.118,3.634,0.001,0.000,0.009,0.275,1.922,0.000,2.000,4.000,4.000,4.000,4.0,1117.0,1120.0,345.8,387300.0,488560.0
358959,4049698,360,800,9099521UF5499N,655.3,438788,0.032,0.000,0.000,97.526,1.766,0.000,0.000,0.000,0.006,0.670,0.000,2.000,4.000,4.000,4.000,4.0,1039.0,1120.0,345.8,387300.0,484152.2
357729,4049933,265,332,7801638UF5570S,1212.4,188759,0.477,0.000,0.000,89.712,8.730,0.013,0.000,0.000,0.031,1.037,0.000,6.000,2.000,2.000,2.000,2.0,359.0,315.0,675.9,212900.0,475438.6
358395,4050349,394,0,8405702UF5580N,1475.5,539026,0.069,0.000,0.000,93.311,4.036,0.025,0.000,0.189,0.564,1.806,0.000,2.000,4.000,4.000,4.000,4.0,1976.0,0.0,0.0,665860.0,472171.0
357739,4050124,281,0,7801667UF5570S,1381.3,444533,0.153,0.000,0.000,93.690,4.307,0.041,0.000,0.072,0.173,1.565,0.000,2.000,4.000,4.000,4.000,4.0,918.0,315.0,675.9,212900.0,471494.4
358780,4049332,355,700,8995103UF5489N,392.4,165685,0.000,0.000,0.000,99.544,0.000,0.000,0.000,0.000,0.047,0.409,0.000,1.000,2.000,5.000,5.000,3.5,2771.0,1120.0,345.8,387300.0,469949.8
357891,4049874,187,995,7901510UF5570S,1092.9,45837,1.473,0.000,0.000,67.705,30.373,0.026,0.000,0.000,0.000,0.423,0.000,6.000,2.000,2.000,2.000,2.0,1409.0,1000.0,537.7,537700.0,466281.0
357896,4049931,200,600,7901508UF5570S,1144.8,444289,0.184,0.000,0.000,95.396,3.665,0.008,0.000,0.000,0.090,0.656,0.000,2.000,4.000,4.000,4.000,4.0,1302.0,1000.0,537.7,537700.0,461378.9
358982,4049589,375,0,9196601UF5499N,547.9,576752,0.137,0.000,0.000,92.025,5.780,0.005,0.000,0.000,0.202,1.851,0.000,2.000,4.000,4.000,4.000,4.0,5242.0,1120.0,345.8,387300.0,461278.9
358541,4049579,293,960,8797207UF5489N,717.8,671006,0.147,0.000,0.000,93.547,3.774,0.039,0.000,0.007,0.504,1.981,0.000,2.000,5.000,4.000,4.000,4.5,2044.0,800.0,512.5,410000.0,455215.0
358906,4049161,235,1000,8993506UF5489S,182.9,146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,5.000,1.000,1.000,1.000,1.0,1666.0,710.0,562.0,399000.0,450701.4
359030,4049403,301,1742,9196604UF5499N,363.1,176022,0.169,0.001,0.000,82.402,14.477,0.015,0.000,0.006,0.510,2.420,0.000,4.000,2.000,1.800,2.000,1.9,5630.0,1120.0,345.8,387300.0,450688.0
357648,4049959,250,0,7600606UF5570S,1272.7,143034,0.629,0.000,0.000,84.244,13.602,0.065,0.000,0.152,0.000,1.308,0.000,6.000,2.000,2.000,2.000,2.0,1028.0,1000.0,503.0,503000.0,443598.8
358339,4049443,293,861,8596103UF5489N,582.9,636159,0.138,0.000,0.000,94.811,3.725,0.007,0.000,0.001,0.291,1.027,0.000,2.000,5.000,4.000,4.000,4.5,816.0,800.0,512.5,410000.0,442244.3
358677,4049481,308,600,8797222UF5489N,572.9,752679,0.134,0.012,0.000,89.360,6.197,0.061,0.000,0.055,0.714,3.466,0.000,6.000,5.000,2.000,2.000,3.5,758.0,800.0,512.5,410000.0,440584.0
358858,4049787,336,700,9099505UF5499N,780.7,551157,0.064,0.004,0.000,93.039,4.689,0.001,0.000,0.003,0.250,1.949,0.000,2.000,4.000,4.000,4.000,4.0,1176.0,1120.0,345.8,387300.0,438187.5
359724,4049551,247,631,9895901UF5499N,373.7,115016,3.947,0.000,0.000,67.760,26.604,0.000,0.004,0.005,0.039,1.640,0.000,6.000,2.000,2.000,2.000,2.0,631.0,710.0,562.0,399000.0,435366.7
359556,4050508,345,0,9707211UF5590N,1328.9,249565,1.321,0.000,0.000,85.263,12.144,0.000,0.030,0.034,0.024,1.184,0.000,6.000,2.000,2.000,2.000,2.0,999.0,450.0,788.0,354600.0,429059.0
358358,4049861,270,1096,8401111UF5580S,1000.9,653939,0.011,0.014,0.000,93.883,2.454,0.014,0.000,0.046,0.680,2.898,0.000,2.000,5.000,4.000,4.000,4.5,825.0,800.0,512.5,410000.0,426933.8
